,userId,movieId,rating,timestamp
0,1,1,4.0,964982703
5,1,70,3.0,964982400
6,1,101,5.0,964980868
7,1,110,4.0,964982176
8,1,151,5.0,964984041
10,1,163,5.0,964983650
12,1,223,3.0,964980985
14,1,235,4.0,964980908
15,1,260,5.0,964981680
16,1,296,3.0,964982967
19,1,349,4.0,964982563
20,1,356,4.0,964980962
24,1,441,4.0,964980868
26,1,480,4.0,964982346
27,1,500,3.0,964981208
28,1,527,5.0,964984002
31,1,553,5.0,964984153
32,1,590,4.0,964982546
33,1,592,4.0,964982271
35,1,596,5.0,964982838
37,1,648,3.0,964982563
39,1,673,3.0,964981775
41,1,736,3.0,964982653
43,1,804,4.0,964980499
48,1,954,5.0,964983219
54,1,1030,3.0,964982903
56,1,1032,5.0,964982791
57,1,1042,4.0,964981179
59,1,1060,4.0,964980924
60,1,1073,5.0,964981680
62,1,1089,5.0,964982951
63,1,1090,4.0,964984018
65,1,1097,5.0,964981680
67,1,1136,5.0,964981327
68,1,1196,5.0,964981827
72,1,1208,4.0,964983250
73,1,1210,5.0,964980499
74,1,1213,5.0,964982951
75,1,1214,4.0,964981855
76,1,1219,2.0,964983393
79,1,1224,5.0,964984018
84,1,1265,4.0,964983599
85,1,1270,5.0,964983705
86,1,1275,5.0,964982290
87,1,1278,5.0,964983414
88,1,1282,5.0,964982703
89,1,1291,5.0,964981909
92,1,1377,3.0,964982653
97,1,1500,4.0,964980985
98,1,1517,5.0,964981107
99,1,1552,4.0,964982620
100,1,1573,5.0,964982290
102,1,1587,5.0,964982346
103,1,1617,5.0,964982951
104,1,1620,4.0,964983056
106,1,1644,3.0,964983536
107,1,1676,3.0,964982620
112,1,1805,4.0,964983056
113,1,1920,4.0,964981780
115,1,1954,5.0,964982176
119,1,2012,4.0,964984176
120,1,2018,5.0,964980523
121,1,2028,4.0,964981888
129,1,2093,3.0,964981710
134,1,2115,5.0,964982529
136,1,2137,5.0,964982791
139,1,2143,4.0,964981725
141,1,2174,4.0,964981680
146,1,2291,5.0,964983664
147,1,2329,5.0,964983263
148,1,2338,2.0,964983546
149,1,2353,5.0,964983861
150,1,2366,4.0,964982462
151,1,2387,5.0,964983123
